Product_Page,Price,Brand,Review Count,Rating,Location,Link
2,56900.0,[Laptop] Surface Laptop 7 13in/Snapdragon X Elite/16GB/512GB/Graphite/Windows 11 Home,2,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5231181738.html
2,56900.0,[Laptop] Surface Laptop 7 13in/Snapdragon X Elite/16GB/512GB/Platinum/Windows 11 Home,1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5231070991.html
2,55990.0,"MSI NOTEBOOK CROSSHAIR 16 HX D14VFKG-870TH | 16"" QHD+ | Intel® Core™ i9 | NVIDIA® GeForce RTX™ 4060 | 16GB(8GBX2) DDR5 | 1TB NVMe SSD | Windows 11 Home + Microsoft Office Home & Student 2021 () [Pre-Order 7-15]",3,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5457031488.html
2,55410.0,MSI KATANA A17 AI (B8VG-861TH) NVIDIA® GeForce RTX™ 4070  Ryzen™ 9-8940H  Notebook ()  By Speed Gaming,1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5491272096.html
2,54230.0,HITACHI  4   20.1 569  RWB640VFX MGW / RWB640VFX MIR   INVERTER [],11,5,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i3284429924.html
2,53500.0,"[] SAMSUNG  WindFree 4 Way Cassette PM1.0 Panel  AC071-4W1-PM, 24,000 BTU/.",1,5,ชลบุรี,https://www.lazada.co.th/products/pdp-i3641685127.html
2,52990.0,"[] SAMSUNG  side by side RS64T5F01B4/ST Family Hub, 21.8  (616L)",22,4,ชลบุรี,https://www.lazada.co.th/products/pdp-i2623676096.html
2,52990.0,"13-inch MacBook Air: Apple M3 chip with 8-core CPU and 10-core GPU, 16GB, 512GB SSD",5,5,ฉะเชิงเทรา,https://www.lazada.co.th/products/pdp-i5093988299.html
2,52180.0,[ 0% 10 .]ASUS Zenbook 14 UX3405CA-PP979WA /Ultra 9 285H/ 3 Years Onsite + 1 Year Perfect warranty,1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5619922144.html
2,51120.0,MSI KATANA A15 AI (B8VG-420TH) AMD Ryzen™ 9 8945HS NVIDIA® GeForce RTX™ 4070 NOTEBOOK()  By Speed Gaming,3,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5276164873.html
2,50889.8,Tozient  T3       ,2,5,นครปฐม,https://www.lazada.co.th/products/pdp-i4873546967.html
2,49990.0,"[] 49"" Odyssey G9 G93SD DQHD 240Hz Gaming Monitor (2024)  LS49DG930SEXXT",3,5,ชลบุรี,https://www.lazada.co.th/products/pdp-i5336359086.html
2,49990.0,"[] 34"" Odyssey G8 G85SD UWQHD 175Hz Gaming Monitor (2024)  LS34DG850SEXXT",11,4,ชลบุรี,https://www.lazada.co.th/products/pdp-i5336149800.html
1,49990.0,"ASUS Vivobook S 14 OLED D5406WA-PP904WF, 14 Inch thin and light laptop, 120HZ 3K OLED, AMD Ryzen AI 9 HX 370, 32GB LPDDR5X on board, AMD Radeon Graphics, 1TB M.2 NVMe PCIe 4.0 SSD, 13.9mm. thin, lightweight 1.3Kg.",1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5236781002.html
2,49900.0,[Laptop] Surface Laptop 7 13in/Snapdragon X Plus/16GB/512GB/Platinum/Windows 11 Home,1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5231081923.html
2,49690.0,[ 0% 10 .]DELL OPTIPLEX 7420 (SNS7420AIO04)/ 3 Years Warranty/Core i7 14700,2,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5139189266.html
2,49290.0,[]HITACHI  4  MULTI-DOORS RWB700VTH2 GMG Glass Mauve Gray 22.8 645   INVERTER ,1,5,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i4196682327.html
2,49136.53,[Laptop] Surface Laptop 7 13in/Snapdragon X Plus/16GB/512GB/Graphite/Windows 11 Home,2,4,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5231212519.html
